MediaType,MediaSubType
CINNEMA,CINNEMA
MAGAZINE,MAGAZINE
NEWSPAPPER,NEWSPAPPER
OUT DOOR,OUT DOOR
RADIO,RADIO
DIGITAL,DIGITAL
ECOMMERCE,AFFILIATE
SEARCH,SEO
DIGITAL BIDDABLE,ANALYTICS
DIGITAL BIDDABLE,AD-OPS
DIGITAL BIDDABLE,AUDIO
DIGITAL BIDDABLE,CONTENT & PRODUCTION
DIGITAL BIDDABLE,DISPLAY
DIGITAL BIDDABLE,DIGITAL TV
DIGITAL BIDDABLE,ECOMMERCE
DIGITAL BIDDABLE,FEE
DIGITAL BIDDABLE,PBU DISPLAY
DIGITAL BIDDABLE,TECH SERVICE
DIGITAL BIDDABLE,VIDEO
CONTENT & PRODUCTION,CONTENT & PRODUCTION
CONTENT & PRODUCTION,FEE
DIGITAL NON-BID,AD-OPS
DIGITAL NON-BID,AUDIO
DIGITAL NON-BID,CONTENT & PRODUCTION
DIGITAL NON-BID,DISPLAY
DIGITAL NON-BID,TECH SERVICE
DIGITAL NON-BID,DIGITAL TV
DIGITAL NON-BID,FEE
DIGITAL NON-BID,MOBILE APP
DIGITAL NON-BID,SPONSORSHIP/ PACKAGE
DIGITAL NON-BID,VIDEO
DIGITAL NON-BID,CONTENT & PRODUCTION (ICO)
DIGITAL NON-BID,VIDEO (ICO)
ECOMMERCE NON-BID,DISPLAY
ECOMMERCE NON-BID,SPONSORSHIP/ PACKAGE
ECOMMERCE NON-BID,TOP UP
ECOMMERCE ON PLATFORM,AFFILIATE
ECOMMERCE ON PLATFORM,CONTENT & PRODUCTION
ECOMMERCE ON PLATFORM,DISPLAY
ECOMMERCE ON PLATFORM,FEE
ECOMMERCE ON PLATFORM,LIVE STREAMING
ECOMMERCE ON PLATFORM,SPONSORSHIP/ PACKAGE
ECOMMERCE ON PLATFORM,SEARCH
ECOMMERCE ON PLATFORM,TRAFFICC
ECOMMERCE ON PLATFORM,VIDEO
KOL,FEE
KOL,INFLUENCER
KOL,PUBLISHER
KOL,PAID INFLUENCER ACTIVATION
KOL,PACKAGE
KOL,PRODUCTION
KOL,FEE (ICO)
PROGRAMMATIC,AD-OPS
PROGRAMMATIC,AUDIO
PROGRAMMATIC,DISPLAY
PROGRAMMATIC,FEE
PROGRAMMATIC,MOBILE APP
PROGRAMMATIC,OOH
PROGRAMMATIC,VIDEO
PROGRAMMATIC,AUDIO (ICO)
PROGRAMMATIC,DISPLAY (ICO)
PROGRAMMATIC,VIDEO (ICO)
SOCIAL,ANALYTICS
SOCIAL,PAID NON VIDEO
SOCIAL,ECOMMERCE
SOCIAL,PAID VIDEO
SOCIAL,AD-OPS
SOCIAL,CONTENT & PRODUCTION
SOCIAL,FEE
SOCIAL,SPONSORSHIP/ PACKAGE
SEARCH,AD-OPS
SEARCH,ECOMMERCE
SEARCH,FEE
SEARCH,SEM
TV,TV
TV,ADDRESSABLE TV
TV,ADDRESSABLE TV(ICO)
TV,TV FTA
TV,TV PAY
TV,PROPRIETARY MEDIA
