media_subtype,vendor
OUT DOOR,PIXEL KOMUNITAS; PT
MAGAZINE,HITAWASANA LUHUR; PT
OUT DOOR,SUPRA MEDIA NUSANTARA; PT.
MAGAZINE,PENERBITAN SARANA BOBO; PT
OUT DOOR,Prisma Harapan. PT
OUT DOOR,ANUGRAH ANTARIKSA SEJATI; PT.
OUT DOOR,BOOMEE BUSINESS NUSANTARA; PT.
OUT DOOR,MEDIA INDRA BUANA
OUT DOOR,MOVING WALLS INDONESIA; PT
TV FTA,CAKRAWALA ANDALAS TELEVISI; PT.
TV FTA,METROPOLITAN TELEVISINDO; PT.
TV FTA,DUTA VISUAL NUSANTARA TIVI TUJUH; PT.
OUT DOOR,GRAHA LESTARI ADVERTINDO; PT
OUT DOOR,TARGET MEDIA GRUP; PT
TV FTA,CITAPRIMA JAKARTA TELEVISI; PT
OUT DOOR,IDEAL MEDIA SOLUTION;PT
TV FTA,MNC TELEVISI NETWORK; PT.
TV FTA,SURYA CITRA TELEVISI; PT. 
TV FTA,TELEVISI TRANSFORMASI INDO; PT. 
OUT DOOR,PARAGON PRATAMA TEKNOLOGI; PT.
OUT DOOR,CITY VISION; PT.
OUT DOOR,BOSS PENCIPTA KREASI; PT
TV FTA,INDOSIAR VISUAL MANDIRI; PT. TBK.
TV FTA,MNCTV
TV FTA,NET MEDIATAMA TELEVISI; PT
TV FTA,LATIVI MEDIA KARYA TVONE; PT.
TV FTA,GLOBAL INFORMASI BERMUTU; PT.
MAGAZINE,ELIA MEDIATAMA INDONESIA; PT
MAGAZINE,MEDIA INSANI ABADI; PT
OUT DOOR,ALTERNATIVE DIGITAL MEDIA GROUP; PT.
TV FTA,RAJAWALI CITRA TELEVISI; PT. 
OUT DOOR,RAJAWALI MEDIA; PT.
MAGAZINE,ZAMRUD KHATULISTIWA MEDIA PT.
OUT DOOR,CAHAYA BERKAT SEMPURNA; PT
OUT DOOR,DIVAINTAN PUTRI PRATAMA PT
OUT DOOR,VIAEIGHT INDONESIA; PT
TV FTA,CIPTA MEGASWARA TELEVISI; PT.
TV PAY,MNC SKY VISION; PT. TBK.
OUT DOOR,TRIMEDI IMAJI REKSO ABADI; PT
OUT DOOR,WARNA WARNI MEDIA; PT.
OUT DOOR,INTEGRASI TRANSIT JAKARTA PT.
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - RCTI)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - SCTV)
TV,MDTV MEDIA TELEVISI PT.
MAGAZINE,AMANAH PRIMA ABADI; PT
OUT DOOR,FOCUS MEDIA INDONESIA; PT.
RADIO,MEDIA NETWORK ATLAS INDONESIA PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - TRANS7)
TV,OMNI INTIVISION;PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - IVM)
CINNEMA,GRAHA LAYAR PRIMA; PT
TV,WIRA PAMUNGKAS PARIWARA; PT. (TRADING TV OMNI- MOJI)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - MNCTV)
OUT DOOR,MAHAKA VISUAL INTEGRA; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - TRANSTV)
TV FTA,MEDIA TELEVISI INDONESIA; PT.
OUT DOOR,RAINBOW ASIA POSTERS; PT.
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - ANTV)
CINNEMA,CINEMA 21 CINEPLEX
NEWSPAPPER,BANJARMASIN POST
NEWSPAPPER,WARTA MEDIA NUSANTARA; PT.
NEWSPAPPER,TRIBUN JABAR
OUT DOOR,MITRA INOVASI GEMILANG; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - MNCTV)
RADIO,FASIH MEDIA HARAPAN; PT.
RADIO,Q RADIO JOGJA
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - TRANS)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - TRANS7)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - RTV)
PROPRIETARY MEDIA,CITAPRIMA JAKARTA TELEVISI; PT
TV,WIRA PAMUNGKAS PARIWARA; PT. (TRADING TV OMNI-MOJI)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA PT. (TRADING MENTARI TV)
TV,LES` COPAQUE PRODUCTION SDN. BHD.
ADDRESSABLE TV(ICO),GAGAS MAHADAYA INDERA; PT. (ICO) - FINECAST
OUT DOOR,AVABANINDO PERKASA; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - ANTV)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - RCTI)
OUT DOOR,PT BLUE BIRD TBK
OUT DOOR,SHOPCOMM SOLUSI INDONESIA; PT
OUT DOOR,TARGET MEDIA NUSANTARA; PT.
RADIO,RADIO GEMA CECYA DHAKSINARGA; PT
ADDRESSABLE TV,GAGAS MAHADAYA INDERA; PT. (FINECAST)
RADIO,PRAMBORS JAKARTA
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - IVM)
RADIO,RADIO FORTUNA BEWARA SUARA; PT.
NEWSPAPPER,KONTAN
CINNEMA,CINEMAXX GLOBAL PASIFIK; PT.
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - INEWS)
TV FTA,VIVA TELEVISI OLAHRAGA INDONESIA PT.
RADIO,PARAMUDA 93.70 FM  BANDUNG
RADIO,RADIO PARAMITA JAYA PERKASA; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - GTV)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - SCTV)
PROPRIETARY MEDIA,CITAPRIMA JAKARTA TELEVISI; PT
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (INVENTORY MEDIA - RTV)
PROPRIETARY MEDIA,WIRA PAMUNGKAS PARIWARA; PT (PROPRIETARY MEDIA - INEWS)
OUT DOOR,POINT OF SALE MEDIA NETWORK PT
RADIO,RADIO NIRWANA; PT
OUT DOOR,HELPIO GLOVIN TEKNOLOGI; PT.
